Dataset,Nu,Semilla,Modelo,Funcion_Objetivo,Tiempo,Bar_iter,Accuracy_Train,Accuracy_Test,Num_exec
Moons_1000,10.0,77214914,DualSinKernel,1975.863412363896,0.017337,24,0.8842857142857142,0.8733333333333333,2
Moons_1000,10.0,77214914,DualRBF,276.48587096763134,0.068642,19,0.9885714285714285,0.9833333333333333,2
Moons_1000,100.0,77214914,Primal,-50826704.10170303,0.01437,20,0.16857142857142857,0.19,2
Moons_1000,100.0,77214914,DualSinKernel,19711.64926771646,0.017201,21,0.8842857142857142,0.8766666666666667,2
Moons_1000,100.0,77214914,DualRBF,1780.630332447035,0.067808,19,0.9871428571428571,0.9833333333333333,2
Moons_2000,0.01,77214914,Primal,-322.71782231391256,0.009879,10,0.22428571428571428,0.215,2
Moons_2000,0.01,77214914,DualSinKernel,5.9143475418736005,0.078342,20,0.855,0.865,2
Moons_2000,0.01,77214914,DualRBF,6.103714832364503,0.213075,16,0.915,0.8983333333333333,2
Moons_2000,0.1,77214914,Primal,-5770.085689518757,0.010985,11,0.21,0.195,2
Moons_2000,0.1,77214914,DualSinKernel,43.13868035196857,0.083476,30,0.875,0.875,2
Moons_2000,0.1,77214914,DualRBF,22.254312864539408,0.294603,30,0.9814285714285714,0.9783333333333334,2
Moons_2000,0.0,77214914,Primal,0.0,0.002307,-1,0.5,0.5,2
Moons_2000,0.0,77214914,DualSinKernel,0.0,-1.0,-1,0.5,0.5,2
Moons_2000,0.0,77214914,DualRBF,0.0,-1.0,-1,0.5,0.5,2
Moons_2000,1.0,77214914,Primal,-136448.01640032348,0.012079,11,0.18357142857142858,0.18,2
Moons_2000,1.0,77214914,DualSinKernel,393.40667650790294,0.082791,28,0.8792857142857143,0.8783333333333333,2
Moons_2000,1.0,77214914,DualRBF,85.47684609960274,0.306,30,0.99,0.9816666666666667,2
Moons_2000,10.0,77214914,Primal,-1782678.263140936,0.013654,14,0.165,0.17333333333333334,2
Moons_2000,10.0,77214914,DualSinKernel,3882.2394364777074,0.080875,26,0.88,0.8783333333333333,2
Moons_2000,10.0,77214914,DualRBF,435.80933039622556,0.252084,22,0.9835714285714285,0.9833333333333333,2
Moons_2000,100.0,77214914,Primal,-76469275.40684228,0.019869,22,0.16785714285714284,0.17666666666666667,2
Moons_2000,100.0,77214914,DualSinKernel,38768.84307955905,0.081422,26,0.88,0.8783333333333333,2
Moons_2000,100.0,77214914,DualRBF,2652.2227045314967,0.255354,23,0.985,0.9833333333333333,2
Points_100,0.01,77214914,Primal,-35.192091552444545,0.00694,32,0.5,0.5,3
Points_100,0.01,77214914,DualSinKernel,0.6849190498906522,0.002726,7,0.9142857142857143,0.8333333333333334,3
Points_100,0.01,77214914,DualRBF,0.6818568404646945,0.004846,7,0.9285714285714286,0.8333333333333334,3
Points_100,0.1,77214914,Primal,-347.63850449845927,0.005559,20,0.5,0.5,3
Points_100,0.1,77214914,DualSinKernel,5.5241683392103225,0.002909,9,0.9142857142857143,0.8666666666666667,3
Points_100,0.1,77214914,DualRBF,5.194875650837485,0.005633,10,0.6285714285714286,0.6,3
Points_100,0.0,77214914,Primal,0.0,0.001548,-1,0.5,0.5,3
Points_100,0.0,77214914,DualSinKernel,0.0,-1.0,-1,0.5,0.5,3
Points_100,0.0,77214914,DualRBF,0.0,-1.0,-1,0.5,0.5,3
Points_100,1.0,77214914,Primal,-5875.037882989063,0.004185,14,0.5,0.5,3
Points_100,1.0,77214914,DualSinKernel,28.90730046728784,0.003294,11,0.9285714285714286,0.8666666666666667,3
Points_100,1.0,77214914,DualRBF,22.386669160377362,0.006032,11,0.9571428571428572,0.8333333333333334,3
Points_100,10.0,77214914,Primal,-62675.543973695916,0.004553,19,0.4,0.43333333333333335,3
